"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2018-04-15,909321.531561443,101969.784296383,243951.48806067,0,437308.122042037,179,24859,2868568,0,0.768726689,0,46.78142857,22702956.93,17386544.46,11.11428571,0.524522853,0.447074646,201816,42548063.0142214
2018-04-22,1124232.25876656,0,112164.722502656,0,321000.997640631,179,24579.9,4091826,0,0.717313906,0,49.76285714,21567899.7,7911891.875,9,0.534103661,0.432515,201817,40136595.7277941
2018-04-29,362813.473152786,0,23902.8916882525,0,523791.206530984,177,24498.2,5438130.51,1,0.782418598,0,49.94285714,14241301.25,4448734.272,21.64285714,0.528847017,0.419180967,201818,41661473.5108729
2018-05-06,47406.0486308504,0,69072.4131761304,0,435936.46487626,177,24868.7,8104064.262,1,0.74780076,0,52.99,8613439.681,9228426.176,29.18571429,0.502414172,0.402023456,201819,41218024.8351605
2018-05-13,51280.0491902101,0,227642.991322554,0,480533.920308614,177,24994.2,6400683.262,0,0.750567226,0,61.33285714,9926079.649,10832322.19,31.41428571,0.484209214,0.441077726,201820,40364274.3176563
2018-05-20,0,0,88138.2283250005,0,479882.850089731,177,25086.5,15260380.96,0,0.826708002,0,51.95285714,6598603.595,18746137.82,44.78571429,0.409231186,0.423177413,201821,42593768.0801154
2018-05-27,0,0,36993.0293014169,28361.6851446046,310589.914476601,176,24714.5,19327449.39,0,0.80872186,0,52.97,7267093.866,20794273.72,52.87142857,0.565951144,0.549084839,201822,41658881.5728314
2018-06-03,0,0,0,67109.1551145757,164527.69000766,176,25326.1,14751525.99,0,0.800121708,0,49.73714286,5942202.678,17460234.45,38.6,0.45061833,0.538399044,201823,42000780.9930169
2018-06-10,0,0,277551.700293184,66422.886813115,174671.650624787,176,25402.8,21308817.4,0,0.77022333,0,52.72,15692629.1,22959938.37,38.78571429,0.487272865,0.443030377,201824,43051675.5219313
2018-06-17,0,0,0,65803.6853176503,458966.684667833,176,25003.1,15272011.98,0,0.774611625,0,51.75571429,15138412.68,16728461.21,22.08571429,0.463026142,0.467700722,201825,43340866.6893101
2018-06-24,0,0,0,43488.0602925476,471343.817260072,175,24569,11705628.86,0,0.860008454,0,54.94571429,14710039.71,12737258.28,21.34285714,0.430244898,0.479723832,201826,42116280.5974493
2018-07-01,0,0,0,46914.7645524031,298555.019042949,173,24520.3,4691621.624,2,0.770475752,0,41.50285714,8701188.669,4648573.064,17.84285714,0.397194689,0.485755678,201827,40502882.2685544
2018-07-08,0,0,0,52921.6191983379,227423.433224652,173,25043.2,9776177.251,0,0.775995905,0,55.41142857,7956586.696,9751813.001,28.35714286,0.448920319,0.426063804,201828,40541603.2937355
2018-07-15,0,0,0,52440.7068696114,148497.957090875,173,25215.3,147833.3636,0,0.79830552,0,52.76571429,8278177.474,465384.8036,58.8,0.528470137,0.486709142,201829,41153185.8832863
2018-07-22,0,0,0,47170.4427275313,126310.118463472,173,25587.2,97433.36359,0,0.793302149,0,40.52142857,9193732.175,748956.3551,27.71428571,0.521110442,0.447448023,201830,43904527.9892915
2018-07-29,0,0,0,8781.57378894791,137412.451692427,173,25500.2,1603919.052,0,0.766283212,0,37.05142857,9196270.985,1971298.211,25.1,0.480587312,0.458841105,201831,43733728.8685968
2018-08-05,0,0,0,11234.8418793137,160770.039248175,173,25692.7,2315800,0,0.824044853,0,41.79,8310747.9,3438263.573,22.9,0.421702769,0.484916676,201832,42818339.0642901
